file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
2349730,SRC4,2025-10-16 12:11:05.500,2460964.674363426,60964.17436342593,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.276899399235569,0.001131618108527362,20,925468.1882089502,965.0802030123086,,2025-10-16 12:11:05.500,,,,,
2349730,SRC5,2025-10-16 12:11:05.500,2460964.674363426,60964.17436342593,1.6232584721052838,-45.65807288899884,534.0599197377289,384.6407871232937,Prompt5,Open,3,10.271091969917464,0.007219844330487255,20,23371.385919636035,155.93110248632397,,2025-10-16 12:11:05.500,,,,,
2349731,SRC4,2025-10-16 12:22:59.500,2460964.6826273147,60964.1826273147,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.261401953402164,0.0011234233760998283,20,938772.7470338529,971.8613563585974,,2025-10-16 12:11:05.500,,,,,
2349731,SRC5,2025-10-16 12:22:59.500,2460964.6826273147,60964.1826273147,1.6232584721052838,-45.65807288899884,534.0599197377289,384.6407871232937,Prompt5,Open,3,10.244506629229914,0.007203424241633246,20,23950.721623509515,159.43172956829508,,2025-10-16 12:11:05.500,,,,,
2349732,SRC4,2025-10-16 12:33:57.500,2460964.6902430556,60964.19024305558,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.328396311637757,0.0011596857387081605,20,882597.5754205055,943.2149686620915,,2025-10-16 12:11:05.500,,,,,
2349732,SRC5,2025-10-16 12:33:57.500,2460964.6902430556,60964.19024305558,1.6232584721052838,-45.65807288899884,534.0599197377289,384.6407871232937,Prompt5,Open,3,10.28845130342015,0.007326552732660499,20,23000.68304594993,155.73356581156253,,2025-10-16 12:11:05.500,,,,,
2349733,SRC4,2025-10-16 12:49:53.500,2460964.7013078704,60964.20130787045,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.311650843998374,0.0011493067636664926,20,896315.5214022247,949.2977276770232,,2025-10-16 12:11:05.500,,,,,
2349733,SRC5,2025-10-16 12:49:53.500,2460964.7013078704,60964.20130787045,1.6232584721052838,-45.65807288899884,534.0599197377289,384.6407871232937,Prompt5,Open,3,10.266401553902888,0.007199899334458891,20,23472.5694741185,156.17212265960615,,2025-10-16 12:11:05.500,,,,,
2349734,SRC4,2025-10-16 13:03:46.500,2460964.710949074,60964.21094907401,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.398038623223329,0.0011962874229515356,20,827762.6099711016,912.5492274293856,,2025-10-16 12:11:05.500,,,,,
2349734,SRC5,2025-10-16 13:03:46.500,2460964.710949074,60964.21094907401,1.6232584721052838,-45.65807288899884,534.0599197377289,384.6407871232937,Prompt5,Open,3,10.345095489418778,0.007535627488430172,20,21831.47399525561,152.0499066467204,,2025-10-16 12:11:05.500,,,,,
2349735,SRC4,2025-10-16 13:16:33.500,2460964.719826389,60964.219826389104,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.262993018772832,0.0011236093792411088,20,937398.0531430467,970.5989659137554,,2025-10-16 12:11:05.500,,,,,
2349735,SRC5,2025-10-16 13:16:33.500,2460964.719826389,60964.219826389104,1.6232584721052838,-45.65807288899884,534.0599197377289,384.6407871232937,Prompt5,Open,3,10.215506343039992,0.007053342148287896,20,24599.071651697017,160.3248274029113,,2025-10-16 12:11:05.500,,,,,
2349736,SRC4,2025-10-16 13:30:22.500,2460964.729421296,60964.22942129616,1.6236218860831308,-45.67790267751044,506.7961586358837,500.34099903344156,Prompt5,Open,3,6.252493530803218,0.0011185251793841197,20,946507.0266161355,975.5937551868628,,2025-10-16 12:11:05.500,,,,,
